"psu","zone","type","pop"
1101,1,1,167
1102,1,1,39
1103,1,1,39
1104,1,1,142
1105,1,1,18
1106,1,1,55
1107,1,1,44
1108,1,1,65
1109,1,1,65
1110,1,1,131
1111,1,1,97
1112,1,1,34
1113,1,1,268
1114,1,1,46
1115,1,1,25
1116,1,1,30
1117,1,1,19
1118,1,1,25
1119,1,1,47
1120,1,1,53
1121,1,1,24
1122,1,1,48
1123,1,1,46
1124,1,1,104
1125,1,1,159
1126,1,1,15
1127,1,1,64
1128,1,1,75
1129,1,1,92
1130,1,1,51
1131,1,1,180
1132,1,1,32
1133,1,1,114
1201,1,2,384.723846435547
1202,1,2,406.239807128906
1203,1,2,225.991821289062
1204,1,2,272.226470947266
1205,1,2,275.438171386719
1206,1,2,164.681091308594
1207,1,2,79.0932006835938
1208,1,2,72.4770889282227
1209,1,2,86.528205871582
1210,1,2,103.61003112793
1211,1,2,108.15690612793
1212,1,2,93.6409225463867
1213,1,2,63.8471984863281
1214,1,2,48.4720039367676
1215,1,2,172.422790527344
1216,1,2,91.8442840576172
1217,1,2,84.3268814086914
1218,1,2,121.013549804688
1219,1,2,353.374969482422
1220,1,2,139.840408325195
1221,1,2,198.544342041016
1222,1,2,157.354217529297
1223,1,2,117.17414855957
1224,1,2,104.225563049316
1225,1,2,152.600799560547
1226,1,2,290.783843994141
1227,1,2,188.140365600586
1228,1,2,174.566513061523
1229,1,2,81.8453216552734
1230,1,2,286.538940429688
1231,1,2,162.742980957031
1232,1,2,108.705139160156
1233,1,2,52.543098449707
2101,2,1,60
2102,2,1,799
2103,2,1,587
2104,2,1,1096
2105,2,1,570
2106,2,1,2865
2107,2,1,1662
2108,2,1,1774
2109,2,1,1570
2110,2,1,1954
2111,2,1,731
2112,2,1,1081
2113,2,1,1396
2114,2,1,697
2115,2,1,196
2116,2,1,3172
2117,2,1,1937
2118,2,1,1730
2119,2,1,1801
2120,2,1,327
2121,2,1,1171
2122,2,1,826
2123,2,1,1739
2124,2,1,1042
2125,2,1,1457
2126,2,1,323
2127,2,1,535
2128,2,1,1608
2129,2,1,274
2130,2,1,449
2131,2,1,804
2132,2,1,1070
2133,2,1,370
